time_s,phase,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,joint_acceleration_rad_s2_1,joint_acceleration_rad_s2_2,joint_acceleration_rad_s2_3,joint_acceleration_rad_s2_4,joint_acceleration_rad_s2_5,joint_acceleration_rad_s2_6
0.2,throw,-4.592972839506173e-05,0.09979072866666665,-0.6080896983333333,-0.00010299789382716047,-0.8570190403333333,0.9626917761234569,3.8419567901234664e-05,-0.11666666666666695,-0.11666666666666695,8.685758024691376e-05,-0.11666666666666695,-4.4924506172918974e-05,0.0003293061728395066,-1.0000000000000013,-1.0000000000000013,0.0007444953086419761,-1.0000000000000013,-0.00038507160493866883
0.22,throw,-4.5094433083827154e-05,0.09725422866666665,-0.6106261983333333,-0.00010110948555832098,-0.8595555403333334,0.9626907993995347,4.5159354845679105e-05,-0.1371333333333336,-0.1371333333333336,0.00010209492265432117,-0.1371333333333336,-5.280565108033369e-05,0.0003441236604938275,-1.0450000000000008,-1.0450000000000008,0.0007779981135802474,-1.0450000000000008,-0.00040240111728428264
0.24,throw,-4.4121598079999994e-05,0.09430006199999998,-0.613580365,-9.891012620799998e-05,-0.8625097070000001,0.9626896618435201,5.21625600000001e-05,-0.15840000000000032,-0.15840000000000032,0.00011792787200000019,-0.15840000000000032,-6.0994880000092685e-05,0.00035564800000000013,-1.0800000000000003,-1.0800000000000003,0.000804056,-1.0800000000000003,-0.00041588000000025726
0.26,throw,-4.30066136465432e-05,0.09091422866666662,-0.6169661983333333,-9.638939262212343e-05,-0.8658955403333334,0.9626883580638609,5.936332077160506e-05,-0.18026666666666702,-0.18026666666666702,0.00013420752976543233,-0.18026666666666702,-6.941517996923285e-05,0.00036387922839506176,-1.105,-1.105,0.0008226689530864195,-1.105,-0.00042550821604955797
0.28,throw,-4.1746187290864177e-05,0.08708672866666661,-0.6207936983333333,-9.353983961995058e-05,-0.8697230403333334,0.9626868842092722,6.669577530864207e-05,-0.20253333333333362,-0.20253333333333362,0.00015078499713580264,-0.20253333333333362,-7.798953728405027e-05,0.00036881738271604935,-1.1199999999999997,-1.1199999999999997,0.000833836958024691,-1.1199999999999997,-0.00043128572839515046
0.3,throw,-4.033834374999999e-05,0.08281156199999995,-0.625068865,-9.035699999999998e-05,-0.8739982070000001,0.96268523796875,7.40940625000001e-05,-0.22500000000000034,-0.22500000000000034,0.0001675113750000002,-0.22500000000000034,-8.664093750010055e-05,0.0003704624999999998,-1.1249999999999991,-1.1249999999999991,0.0008375599999999992,-1.1249999999999991,-0.00043321249999999956
0.32,throw,-3.878242497580245e-05,0.0780867286666666,-0.6297936983333334,-8.683938454597528e-05,-0.8787230403333335,0.9626834185715871,8.149232197530873e-05,-0.24746666666666695,-0.24746666666666695,0.00018423776395061744,-0.24746666666666695,-9.529236543219841e-05,0.0003688146172839503,-1.1199999999999988,-1.1199999999999988,0.0008338380641975298,-1.1199999999999988,-0.0004312884938270711
0.34,throw,-3.707909012012344e-05,0.07291422866666661,-0.6349661983333333,-8.298848203269132e-05,-0.8838955403333334,0.9626814267873872,8.882469410493839e-05,-0.2697333333333336,-0.2697333333333336,0.00020081526428395076,-0.2697333333333336,-0.00010386680515441799,0.0003638737716049379,-1.1049999999999984,-1.1049999999999984,0.0008226711358024679,-1.1049999999999984,-0.0004255136728393301
0.36,throw,-3.523031551999998e-05,0.06730006199999994,-0.640580365,-7.880875923199996e-05,-0.8895097070000001,0.96267926492608,9.602532000000008e-05,-0.29160000000000025,-0.29160000000000025,0.00021709497600000006,-0.29160000000000025,-0.00011228724000009265,0.0003556399999999996,-1.0799999999999987,-1.0799999999999987,0.000804059199999999,-1.0799999999999987,-0.00041588799999974207
0.38,throw,-3.323939468283948e-05,0.061254228666666605,-0.6466261983333333,-7.4307660918716e-05,-0.8955555403333334,0.9626769368379358,0.00010302834151234576,-0.31286666666666685,-0.31286666666666685,0.0002329279988024692,-0.31286666666666685,-0.00012047665256181513,0.00034411333950617237,-1.0449999999999984,-1.0449999999999984,0.0007780022419753075,-1.0449999999999984,-0.00040241143827127234
